WL	SiCnofilter	SiB1nofilter	SiDnofilter	SiEfilterno
300	778863.2066	813733.5421	841464.5858	565968.1468
301	781282.5769	811332.1133	846963.8522	577152.1477
302	791397.6092	827188.4178	859541.2021	571142.2127
303	800224.653	837074.9728	873520.3984	573205.0346
304	804487.456	849933.4224	880091.5405	578644.6809
305	802709.2174	843505.2283	879990.29	591408.1189
306	814441.4655	857424.7491	896874.0809	587777.153
307	821668.8558	866834.7151	906900.2046	590055.7743
308	814952.929	860464.3991	900283.2975	594663.646
309	828246.5288	879671.7594	915943.628	602559.7808
310	831525.317	886146.6693	925444.3518	611522.3105
311	828848.0034	882840.3743	925321.1308	614693.8184
312	825963.8452	884316.4091	924640.489	614596.6915
313	830292.0952	891235.3032	931932.0296	617605.5841
314	846158.6248	907531.7748	950091.7548	634226.9732
315	850134.9994	912317.7278	958373.6845	639841.6873
316	858099.057	923040.9257	969649.1251	637051.8042
317	854090.7596	924250.4286	970515.0045	639331.3204
318	861765.5287	934219.4018	981577.2819	645172.0511
319	870515.4416	946125.2238	993026.9089	648975.7917
320	873496.9415	949808.1637	997098.234	653375.9389
321	869620.7677	950089.804	996052.8198	658647.5261
322	880615.3713	960832.4782	1012960.828	670166.3561
323	889878.5332	974013.1993	1025858.704	678158.3285
324	885227.7928	969561.7104	1023783.743	676677.7651
325	893963.5929	986964.3874	1036004.147	681882.1408
326	890917.1733	982659.9922	1035854.682	693220.302
327	892478.145	986775.0833	1040506.598	698225.9866
328	900060.9476	996714.3445	1051405.082	700956.2714
329	910296.0371	1008052.674	1066718.108	702124.6174
330	917665.9278	1017070.106	1078739.971	711503.0435
331	913020.246	1015711.495	1075487.815	725467.5188
332	907863.171	1010528.782	1073378.089	727881.8263
333	909497.0425	1015635.061	1077317.664	734289.5209
334	918588.6027	1027148.489	1090644.818	735082.7825
335	927702.5665	1038938.727	1105163.44	739399.55
336	921173.5425	1033486.411	1100181.237	745793.3696
337	925845.415	1041820.884	1108154.521	751667.0656
338	917448.1963	1038918.264	1100199.293	753710.9177
339	919629.0114	1042438.981	1107214.973	753634.5613
340	925466.3611	1048787.534	1115911.507	761523.1993
341	927336.0894	1052687.078	1121297.308	761551.4619
342	929373.5445	1057213.618	1128602.628	769214.4267
343	921437.2927	1051853.574	1120719.167	768747.0483
344	922522.853	1054694.207	1123647.755	771174.0952
345	921916.7877	1055611.192	1127813.86	767615.1951
346	912151.4168	1045964.263	1117713.31	772337.9817
347	913119.8328	1049548.006	1120624.998	774156.3453
348	913012.5179	1050475.498	1125160.176	770805.0539
349	906288.0267	1045376.426	1118727.637	782821.639
350	896453.0443	1037522.03	1108291.902	780413.5614
351	893765.6359	1036465.58	1108274.623	781096.5303
352	891070.5307	1034829.755	1106721.116	778545.6012
353	887757.5346	1032983.79	1104105.424	775469.0367
354	877129.5352	1022707.205	1094118.877	773176.2458
